https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1612429200000,2021-02-04 09:00:00,BTC/USDT,37435.19,37670.63,36800.00,37550.00,28600.999,1065752424.96163,255436
1612425600000,2021-02-04 08:00:00,BTC/USDT,37884.42,38833.00,37081.95,37435.20,32278.934,1233499907.08428,253444
1612422000000,2021-02-04 07:00:00,BTC/USDT,38114.61,38241.75,37825.39,37884.43,9200.191,349666786.42171,87598
1612418400000,2021-02-04 06:00:00,BTC/USDT,37614.98,38260.00,37577.00,38114.61,10424.707,395999826.58590,99083
1612414800000,2021-02-04 05:00:00,BTC/USDT,37720.00,37980.00,37512.83,37614.99,8582.532,323888902.68242,83525
1612411200000,2021-02-04 04:00:00,BTC/USDT,37565.17,37845.01,37370.00,37719.99,7662.637,288631655.95597,74571
1612407600000,2021-02-04 03:00:00,BTC/USDT,37954.99,38082.94,37400.00,37565.17,10890.970,410809197.08042,98863
1612404000000,2021-02-04 02:00:00,BTC/USDT,38224.28,38292.08,37581.01,37954.98,12502.419,473364262.23364,112745
1612400400000,2021-02-04 01:00:00,BTC/USDT,38126.59,38388.73,37910.30,38224.61,11299.715,431336469.00147,108927
1612396800000,2021-02-04 00:00:00,BTC/USDT,37651.92,38235.00,37645.93,38126.59,16497.933,625938297.41933,138306
1612393200000,2021-02-03 23:00:00,BTC/USDT,37308.90,37700.00,37300.00,37652.51,9525.231,357465428.76267,92583
1612389600000,2021-02-03 22:00:00,BTC/USDT,37290.52,37545.98,37261.42,37308.90,6323.250,236418996.79632,80198
1612386000000,2021-02-03 21:00:00,BTC/USDT,37062.65,37476.99,36994.07,37290.51,9868.359,367638224.94416,97967
1612382400000,2021-02-03 20:00:00,BTC/USDT,36821.01,37104.00,36671.60,37062.66,7504.274,276808673.18202,72325
1612378800000,2021-02-03 19:00:00,BTC/USDT,37153.85,37170.00,36819.28,36820.87,8337.594,308027187.24738,78363
1612375200000,2021-02-03 18:00:00,BTC/USDT,37216.00,37246.89,36693.93,37153.85,12759.216,472424697.60657,111261
1612371600000,2021-02-03 17:00:00,BTC/USDT,37180.00,37217.89,36956.34,37216.10,9832.007,364682568.56205,95988
1612368000000,2021-02-03 16:00:00,BTC/USDT,36891.10,37273.12,36672.19,37180.11,18406.250,680617753.58730,167004
1612364400000,2021-02-03 15:00:00,BTC/USDT,36598.47,36976.34,36582.56,36891.10,10548.891,388315032.35508,107326
1612360800000,2021-02-03 14:00:00,BTC/USDT,36575.42,36827.07,36412.15,36594.81,8372.235,306359272.99271,89247
1612357200000,2021-02-03 13:00:00,BTC/USDT,36235.50,36776.89,35987.48,36577.43,12950.234,472399060.51912,125503
1612353600000,2021-02-03 12:00:00,BTC/USDT,36024.06,36382.00,35870.73,36230.18,10339.208,374152629.43925,98101
1612350000000,2021-02-03 11:00:00,BTC/USDT,36030.91,36281.33,35905.00,36024.06,8692.513,313838667.29952,87215
1612346400000,2021-02-03 10:00:00,BTC/USDT,35917.84,36090.00,35712.93,36030.92,6370.369,228717066.17990,73530
1612342800000,2021-02-03 09:00:00,BTC/USDT,36068.10,36101.28,35598.79,35917.22,12276.420,440094808.00251,114679
1612339200000,2021-02-03 08:00:00,BTC/USDT,36355.83,36355.83,35713.15,36063.73,17152.336,618383809.56914,139053
1612335600000,2021-02-03 07:00:00,BTC/USDT,36591.22,36644.01,36263.03,36358.28,7177.957,261772187.58203,79711
1612332000000,2021-02-03 06:00:00,BTC/USDT,36519.51,36847.10,36492.00,36593.93,7403.512,271444022.23850,79373
1612328400000,2021-02-03 05:00:00,BTC/USDT,36676.54,36742.85,36430.00,36517.01,5652.956,206578745.65540,63576
1612324800000,2021-02-03 04:00:00,BTC/USDT,36446.26,36915.06,36446.26,36676.53,15455.798,567450857.17483,131062
1612321200000,2021-02-03 03:00:00,BTC/USDT,35922.50,36550.00,35913.46,36446.25,7572.082,274444886.22830,80984
1612317600000,2021-02-03 02:00:00,BTC/USDT,35943.90,36157.40,35880.14,35922.50,6145.447,221098939.75582,62708
1612314000000,2021-02-03 01:00:00,BTC/USDT,36179.31,36388.24,35913.19,35943.89,8621.502,311334625.74456,84328
1612310400000,2021-02-03 00:00:00,BTC/USDT,35504.07,36296.40,35410.00,36174.33,13020.437,468457313.53862,119741
1612306800000,2021-02-02 23:00:00,BTC/USDT,35620.00,35750.00,35500.00,35504.06,5852.924,208442356.34954,68528
1612303200000,2021-02-02 22:00:00,BTC/USDT,35693.96,35850.00,35557.46,35620.00,5492.641,196059783.42625,65327
1612299600000,2021-02-02 21:00:00,BTC/USDT,35829.15,35950.00,35601.25,35693.96,7787.152,278682306.30781,81156
1612296000000,2021-02-02 20:00:00,BTC/USDT,35805.63,36041.00,35587.00,35829.55,11821.210,423266466.16516,113956
1612292400000,2021-02-02 19:00:00,BTC/USDT,35306.24,35880.00,35213.46,35805.48,14190.086,504080809.02390,130054
1612288800000,2021-02-02 18:00:00,BTC/USDT,34922.49,35383.00,34844.00,35306.24,7042.105,247142325.73948,82696
1612285200000,2021-02-02 17:00:00,BTC/USDT,35037.94,35094.25,34792.00,34922.49,5966.040,208354996.29693,68810
1612281600000,2021-02-02 16:00:00,BTC/USDT,34750.83,35262.07,34600.04,35037.93,13997.970,488714242.97047,127062
1612278000000,2021-02-02 15:00:00,BTC/USDT,34844.99,35238.79,34581.14,34750.83,15095.455,526457959.42600,123679
1612274400000,2021-02-02 14:00:00,BTC/USDT,34901.90,34975.44,34338.00,34844.99,13364.932,463866812.30216,116880
1612270800000,2021-02-02 13:00:00,BTC/USDT,34840.74,35269.96,34800.00,34901.89,10038.737,351567846.12273,97226
1612267200000,2021-02-02 12:00:00,BTC/USDT,34821.60,35070.00,34662.00,34840.74,12021.988,419035652.78011,109738
1612263600000,2021-02-02 11:00:00,BTC/USDT,35257.14,35365.49,34738.11,34821.61,12171.795,426482349.71149,115315
1612260000000,2021-02-02 10:00:00,BTC/USDT,35398.96,35492.73,35055.00,35257.15,10255.756,361793997.73166,98907
1612256400000,2021-02-02 09:00:00,BTC/USDT,34709.72,35720.00,34709.72,35399.51,28758.878,1014472182.74596,233625
1612252800000,2021-02-02 08:00:00,BTC/USDT,34261.81,34719.01,34150.00,34709.72,12977.844,446769842.12600,113364
1612249200000,2021-02-02 07:00:00,BTC/USDT,34334.27,34455.00,34170.21,34261.84,7353.077,252273475.92281,79838
1612245600000,2021-02-02 06:00:00,BTC/USDT,34021.97,34380.00,33953.09,34334.27,7937.520,271067055.22380,88503
1612242000000,2021-02-02 05:00:00,BTC/USDT,33908.00,34143.98,33803.76,34020.31,6277.743,213257548.29099,68730
1612238400000,2021-02-02 04:00:00,BTC/USDT,33592.79,34000.00,33540.00,33909.71,7362.150,248998487.93232,69852
1612234800000,2021-02-02 03:00:00,BTC/USDT,33690.58,33743.02,33540.00,33592.79,3692.584,124278860.43155,56145
1612231200000,2021-02-02 02:00:00,BTC/USDT,33774.75,33920.31,33633.87,33690.58,5321.239,179534455.90844,64872
1612227600000,2021-02-02 01:00:00,BTC/USDT,33794.58,33832.86,33539.00,33774.78,5342.897,179941966.34430,66545
1612224000000,2021-02-02 00:00:00,BTC/USDT,33546.08,34200.00,33450.00,33794.57,9733.507,330145794.09937,104385
1612220400000,2021-02-01 23:00:00,BTC/USDT,33579.05,33802.94,33458.00,33546.09,6182.241,207807933.16110,67954
1612216800000,2021-02-01 22:00:00,BTC/USDT,33696.01,33823.71,33527.57,33579.06,4496.698,151352666.08682,62595
1612213200000,2021-02-01 21:00:00,BTC/USDT,33874.92,33889.88,33592.14,33696.01,5224.991,176317767.75688,62059
1612209600000,2021-02-01 20:00:00,BTC/USDT,33867.65,34083.21,33756.54,33874.92,5006.598,169850468.82705,64888
1612206000000,2021-02-01 19:00:00,BTC/USDT,33762.18,34121.89,33722.00,33867.65,5951.605,202005050.51180,70901
1612202400000,2021-02-01 18:00:00,BTC/USDT,33996.99,34050.00,33673.00,33760.00,5889.528,199426547.66269,71555
1612198800000,2021-02-01 17:00:00,BTC/USDT,33493.04,34099.00,33410.85,33999.29,9356.007,315618698.55906,90398
1612195200000,2021-02-01 16:00:00,BTC/USDT,33181.26,33633.00,33161.00,33493.03,7562.286,252584311.92555,87104
1612191600000,2021-02-01 15:00:00,BTC/USDT,33572.98,33668.00,33173.14,33178.13,9729.300,325640877.36849,99046
1612188000000,2021-02-01 14:00:00,BTC/USDT,33753.07,33920.00,33437.00,33568.84,13348.934,449675090.06229,122918
1612184400000,2021-02-01 13:00:00,BTC/USDT,33815.99,34054.33,33673.57,33753.07,8956.891,303428151.11975,99355
1612180800000,2021-02-01 12:00:00,BTC/USDT,34219.94,34493.94,33608.00,33816.00,13774.616,468558277.81413,123448
1612177200000,2021-02-01 11:00:00,BTC/USDT,34213.61,34443.28,34000.00,34219.91,10266.041,351300962.46443,105238
1612173600000,2021-02-01 10:00:00,BTC/USDT,34392.51,34596.97,34036.31,34213.60,11112.116,380991548.92142,109985
1612170000000,2021-02-01 09:00:00,BTC/USDT,34509.98,34720.00,34314.67,34392.51,15448.698,533802130.58821,142753
1612166400000,2021-02-01 08:00:00,BTC/USDT,33828.41,34537.00,33644.05,34511.89,12863.382,437708843.60583,122815
1612162800000,2021-02-01 07:00:00,BTC/USDT,33541.33,33900.00,33430.00,33827.00,10080.046,339449373.29857,102877
1612159200000,2021-02-01 06:00:00,BTC/USDT,33787.94,34484.10,33308.01,33541.34,22190.798,750526188.67515,194301
1612155600000,2021-02-01 05:00:00,BTC/USDT,33591.64,33911.68,33468.00,33787.93,7064.985,237879913.67532,79270
1612152000000,2021-02-01 04:00:00,BTC/USDT,33600.37,33993.70,33457.07,33591.64,8854.767,298544215.63523,89762
1612148400000,2021-02-01 03:00:00,BTC/USDT,33674.91,33802.93,33500.60,33600.37,7134.843,240090680.19872,74861
1612144800000,2021-02-01 02:00:00,BTC/USDT,33455.16,33889.93,33259.00,33675.41,12906.104,433904112.17314,121202
1612141200000,2021-02-01 01:00:00,BTC/USDT,32570.42,33558.34,32492.10,33455.17,13803.115,457410902.03667,125143
1612137600000,2021-02-01 00:00:00,BTC/USDT,33125.11,33140.03,32322.47,32570.42,13427.735,437510925.00884,130745
1612134000000,2021-01-31 23:00:00,BTC/USDT,32997.75,33280.73,32955.46,33126.21,7433.925,246406175.03226,77616
1612130400000,2021-01-31 22:00:00,BTC/USDT,32585.01,33119.64,32581.52,32997.78,5386.386,177355823.02890,68756
1612126800000,2021-01-31 21:00:00,BTC/USDT,32871.61,32917.52,32536.34,32585.01,4526.154,148127936.49247,65543
1612123200000,2021-01-31 20:00:00,BTC/USDT,32817.24,32949.00,32511.25,32867.56,6315.091,206828385.22844,76331
1612119600000,2021-01-31 19:00:00,BTC/USDT,32483.45,32950.00,32432.83,32817.33,6295.702,206231601.08945,80711
1612116000000,2021-01-31 18:00:00,BTC/USDT,32333.17,32869.41,32193.04,32480.33,11286.633,367014734.33537,121545
1612112400000,2021-01-31 17:00:00,BTC/USDT,32919.11,33112.88,32211.26,32329.62,16251.979,531145851.95092,155225
1612108800000,2021-01-31 16:00:00,BTC/USDT,32878.84,33111.40,32630.00,32920.79,11447.055,376914305.60657,122964
1612105200000,2021-01-31 15:00:00,BTC/USDT,33363.53,33495.70,32550.00,32875.93,21914.251,721924115.44096,200755
1612101600000,2021-01-31 14:00:00,BTC/USDT,33725.84,33755.00,33334.91,33365.00,10521.481,352976063.36379,105828
1612098000000,2021-01-31 13:00:00,BTC/USDT,34013.67,34093.99,33640.00,33725.83,7008.526,237053193.47001,81250
1612094400000,2021-01-31 12:00:00,BTC/USDT,33603.93,34268.00,33400.00,34015.00,15269.712,518245591.19197,140182
1612090800000,2021-01-31 11:00:00,BTC/USDT,33687.93,33830.00,33512.40,33603.93,5636.425,189746799.55795,73211
1612087200000,2021-01-31 10:00:00,BTC/USDT,33332.84,33784.78,33239.24,33687.93,8379.440,281260712.59794,87808
1612083600000,2021-01-31 09:00:00,BTC/USDT,33630.69,33798.26,33302.38,33332.84,7476.324,250864363.58095,86739
1612080000000,2021-01-31 08:00:00,BTC/USDT,33631.01,33880.00,33302.00,33627.00,11740.286,394880059.24358,104586
1612076400000,2021-01-31 07:00:00,BTC/USDT,33683.71,33888.00,33452.24,33632.41,7458.204,251208789.80848,76432
1612072800000,2021-01-31 06:00:00,BTC/USDT,33788.48,33897.66,33600.00,33683.70,7648.692,258121489.44050,79860
1612069200000,2021-01-31 05:00:00,BTC/USDT,34060.11,34090.03,33713.00,33788.49,6100.171,206549210.75229,65490
1612065600000,2021-01-31 04:00:00,BTC/USDT,33966.00,34160.26,33827.35,34055.94,5449.952,185312457.88063,65309
1612062000000,2021-01-31 03:00:00,BTC/USDT,33787.81,34072.00,33700.00,33962.92,5071.906,172177208.35589,63470
1612058400000,2021-01-31 02:00:00,BTC/USDT,34227.74,34274.89,33700.00,33789.89,8636.764,292846670.96669,81295
1612054800000,2021-01-31 01:00:00,BTC/USDT,34097.10,34283.69,33961.63,34225.57,6395.033,218269656.14242,68007
1612051200000,2021-01-31 00:00:00,BTC/USDT,34284.76,34393.22,33907.27,34097.10,7643.799,260865723.96350,84346
1612047600000,2021-01-30 23:00:00,BTC/USDT,34565.40,34603.88,34183.94,34289.85,7686.841,264095936.16497,80002
1612044000000,2021-01-30 22:00:00,BTC/USDT,34720.99,34829.25,34545.00,34565.39,5988.510,207708089.86042,73993
1612040400000,2021-01-30 21:00:00,BTC/USDT,34190.00,34744.29,34000.00,34723.78,6855.327,235490259.84537,77396
1612036800000,2021-01-30 20:00:00,BTC/USDT,34337.98,34500.00,34100.00,34190.00,6750.922,231841521.57445,80930
